"FECHA","SECTOR_ECONOMICO","DEUDA"
31/1/12,"O - Otras actividades de servicios comunitarios, sociales y personales",31335665695.11
31/1/12,"H - ALOJAMIENTO Y SERVICIOS DE COMIDA",17596881693.17
31/3/12,"I - TRANSPORTE Y ALMACENAMIENTO",9164883536.99
30/4/12,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",24968301813.18
30/4/12,"",1090834444.69
30/4/12,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",93979099582.44
30/4/12,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",1962251006.82
31/5/12,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",72165356026.28
31/5/12,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",13333666107.45
31/5/12,"B - PESCA",78224089.8
31/5/12,"",1157361396.66
31/7/12,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",2772888386.67
31/7/12,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",70154888629.6
31/7/12,"C - EXPLOTACIÓN DE MINAS Y CANTERAS",5406742176.56
30/9/12,"I - TRANSPORTE Y ALMACENAMIENTO",8661312646.46
30/9/12,"B - PESCA",88408758.83
30/9/12,"L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA",49206982562.51
31/10/12,"Y - CONSUMO DE BIENES Y SERVICIOS",120844511551.9
31/10/12,"B - PESCA",91129777.43
30/11/12,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",98210156084.61
30/11/12,"J - ACTIVIDADES FINANCIERAS Y DE SEGURO",14249818715.46
31/12/12,"G - COMERCIO AL POR MAYOR Y AL POR MENOR. REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS",81055784540.88
28/2/13,"Y - CONSUMO DE BIENES Y SERVICIOS",125693738592.94
28/2/13,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",22048012356.79
31/3/13,"Y - CONSUMO DE BIENES Y SERVICIOS",126540002661.79
31/3/13,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",22085142039.82
31/3/13,"Z - COMPRA Y REMODELACIÓN DE VIVIENDAS",100233076780.51
31/3/13,"N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA",4123193050.96
31/3/13,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",6064237525.67
30/4/13,"D - INDUSTRIA MANUFACTURERA",39421694971.23
30/4/13,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",1907781571.85
31/5/13,"Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES",5330026534
