ano,mes,ano_mes,imae,var_interanual_imae,var_acumulada_imae,prom12_imae
2007,3,Mar-07,101.344,,,
2007,4,Apr-07,95.749,,,
2007,5,May-07,103.457,,,
2007,6,Jun-07,97.952,,,
2007,7,Jul-07,100.596,,,
2007,8,Aug-07,101.759,,,
2007,9,Sep-07,97.659,,,
2007,10,Oct-07,102.85,,,
2007,11,Nov-07,103.377,,,
2007,12,Dec-07,104.349,,,
2008,1,Jan-08,103.097,9.721,9.721,
2008,2,Feb-08,103.979,7.255,8.468,
2008,3,Mar-08,106.227,4.818,7.203,
2008,4,Apr-08,108.686,13.511,8.759,
2008,5,May-08,106.933,3.36,7.623,
2008,6,Jun-08,104.023,6.198,7.386,
2008,7,Jul-08,106.316,5.687,7.138,
2008,8,Aug-08,99.472,-2.247,5.932,
2008,9,Sep-08,94.157,-3.586,4.887,
2008,10,Oct-08,103.648,0.776,4.461,
2008,11,Nov-08,98.078,-5.126,3.556,
2008,12,Dec-08,103.898,-0.432,3.21,
2009,1,Jan-09,99.601,-3.391,-3.391,2.141
2009,2,Feb-09,100.353,-3.487,-3.439,1.252
2009,3,Mar-09,104.634,-1.5,-2.782,0.716
2009,4,Apr-09,106.516,-1.996,-2.579,-0.515
2009,5,May-09,103.122,-3.564,-2.778,-1.103
2009,6,Jun-09,103.613,-0.394,-2.387,-1.618
2009,7,Jul-09,105.191,-1.059,-2.196,-2.159
2009,8,Aug-09,102.424,2.968,-1.583,-1.743
2009,9,Sep-09,99.438,5.609,-0.857,-1.041
2009,10,Oct-09,106.965,3.2,-0.452,-0.838
2009,11,Nov-09,107.25,9.352,0.396,0.326
2009,12,Dec-09,111.125,6.956,0.946,0.946
2010,1,Jan-10,103.663,4.078,4.078,1.561
2010,2,Feb-10,110.974,10.583,7.343,2.722
2010,3,Mar-10,116.956,11.776,8.866,3.857
2010,4,Apr-10,115.847,8.76,8.839,4.801
2010,5,May-10,112.424,9.02,8.875,5.887
2010,6,Jun-10,112.067,8.16,8.755,6.614
2010,7,Jul-10,111.862,6.342,8.404,7.258
2010,8,Aug-10,111.733,9.088,8.489,7.759
2010,9,Sep-10,108.522,9.135,8.558,8.035
2010,10,Oct-10,114.947,7.462,8.445,8.391
2010,11,Nov-10,115.991,8.149,8.417,8.295
2010,12,Dec-10,119.513,7.548,8.34,8.34
2011,1,Jan-11,109.214,5.355,5.355,8.431
2011,2,Feb-11,116.707,5.166,5.258,7.974
2011,3,Mar-11,120.397,2.942,4.441,7.202
2011,4,Apr-11,116.427,0.5,3.421,6.47
2011,5,May-11,120.493,7.177,4.175,6.328
2011,6,Jun-11,115.055,2.666,3.923,5.868
2011,7,Jul-11,114.524,2.379,3.703,5.532
2011,8,Aug-11,114.857,2.797,3.59,5.025
2011,9,Sep-11,112.098,3.296,3.558,4.576
2011,10,Oct-11,115.063,0.101,3.203,3.961
2011,11,Nov-11,120.52,3.905,3.269,3.622
2011,12,Dec-11,121.584,1.733,3.133,3.133
2012,1,Jan-12,115.25,5.527,5.527,3.156
2012,2,Feb-12,119.53,2.419,3.921,2.93
2012,3,Mar-12,122.603,1.833,3.195,2.832
2012,4,Apr-12,117.34,0.784,2.588,2.855
2012,5,May-12,124.241,3.111,2.696,2.525
2012,6,Jun-12,118.903,3.344,2.803,2.582
2012,7,Jul-12,119.485,4.332,3.019,2.743
2012,8,Aug-12,118.525,3.194,3.04,2.776
2012,9,Sep-12,112.613,0.46,2.762,2.549
2012,10,Oct-12,118.503,2.99,2.785,2.788
2012,11,Nov-12,123.022,2.076,2.718,2.633
2012,12,Dec-12,124.883,2.714,2.717,2.717
2013,1,Jan-13,119.182,3.412,3.412,2.556
2013,2,Feb-13,121.379,1.547,2.462,2.481
2013,3,Mar-13,123.842,1.01,1.964,2.409
2013,4,Apr-13,125.959,7.346,3.294,2.954
2013,5,May-13,128.613,3.519,3.341,2.99
