"ANO","MES","ANO_MES","REMESAS","VAR_M_REMESAS","VAR_A_REMESAS"
2010,1,"Jan 2010",280155040.64,,
2010,2,"Feb 2010",304097868.01,0.09,
2010,3,"Mar 2010",339939224.742,0.12,
2010,4,"Apr 2010",290804738.11,-0.14,
2010,5,"May 2010",303781236.31,0.04,
2010,6,"Jun 2010",280461643.962,-0.08,
2010,7,"Jul 2010",337133292.88,0.2,
2010,8,"Aug 2010",314046412.91,-0.07,
2010,9,"Sep 2010",294098116.396,-0.06,
2010,10,"Oct 2010",306398493.56,0.04,
2010,11,"Nov 2010",282056928.19,-0.08,
2010,12,"Dec 2010",349959487.373,0.24,
2011,1,"Jan 2011",299479413.87,-0.14,0.06898
2011,2,"Feb 2011",322128447.48,0.08,0.05929
2011,3,"Mar 2011",366434938.86,0.14,0.07794
2011,4,"Apr 2011",351856237.37,-0.04,0.20994
2011,5,"May 2011",346451193.13,-0.02,0.14046
2011,6,"Jun 2011",339984796.68,-0.02,0.21223
2011,7,"Jul 2011",369679377.38,0.09,0.09654
2011,8,"Aug 2011",345464139.65,-0.07,0.10004
2011,9,"Sep 2011",316408208.44,-0.08,0.07586
2011,10,"Oct 2011",301942891.33,-0.05,-0.01454
2011,11,"Nov 2011",289377897.25,-0.04,0.02596
2011,12,"Dec 2011",359182975.58,0.24,0.02636
2012,1,"Jan 2012",300039839.76,-0.16,0.00187
2012,2,"Feb 2012",366658552.94,0.22,0.13824
2012,3,"Mar 2012",409431620.63,0.12,0.11734
2012,4,"Apr 2012",327994910.22,-0.2,-0.06782
2012,5,"May 2012",341065591.39,0.04,-0.01555
2012,6,"Jun 2012",345278844.893,0.01,0.01557
2012,7,"Jul 2012",367180358.76,0.06,-0.00676
2012,8,"Aug 2012",370319304.55,0.01,0.07195
2012,9,"Sep 2012",315846701.764,-0.15,-0.00177
2012,10,"Oct 2012",263515509.23,-0.17,-0.12727
2012,11,"Nov 2012",313699778.55,0.19,0.08405
2012,12,"Dec 2012",324340571.742,0.03,-0.097
2013,1,"Jan 2013",327746152.32,0.01,0.09234
2013,2,"Feb 2013",366990850.94,0.12,0.00091
2013,3,"Mar 2013",421949291.832,0.15,0.03057
2013,4,"Apr 2013",290738915.37,-0.31,-0.11359
2013,5,"May 2013",314883789.31,0.08,-0.07676
2013,6,"Jun 2013",328727490.97,0.04,-0.04794
2013,7,"Jul 2013",418638789.75,0.27,0.14014
2013,8,"Aug 2013",394026711.15,-0.06,0.06402
2013,9,"Sep 2013",262324566.051,-0.33,-0.16946
2013,10,"Oct 2013",364187035.08,0.39,0.38203
2013,11,"Nov 2013",335469235.43,-0.08,0.0694
2013,12,"Dec 2013",436610264.312,0.3,0.34615
2014,1,"Jan 2014",323273997.11,-0.26,-0.01365
2014,2,"Feb 2014",388971034.24,0.2,0.05989
2014,3,"Mar 2014",459764365.054,0.18,0.08962
2014,4,"Apr 2014",389133287.7,-0.15,0.33843
2014,5,"May 2014",414930543.79,0.07,0.31773
2014,6,"Jun 2014",374680832.445,-0.1,0.13979
2014,7,"Jul 2014",418464147.86,0.12,-0.00042
2014,8,"Aug 2014",430715640.62,0.03,0.09311
2014,9,"Sep 2014",288498699.21,-0.33,0.09978
2014,10,"Oct 2014",380250525.27,0.32,0.04411
2014,11,"Nov 2014",356908314.1,-0.06,0.06391
2014,12,"Dec 2014",345729759.47,-0.03,-0.20815
2015,1,"Jan 2015",338759493.74,-0.02,0.0479
2015,2,"Feb 2015",399184864.13,0.18,0.02626
2015,3,"Mar 2015",462136462.35,0.16,0.00516
2015,4,"Apr 2015",402542804.25,-0.13,0.03446
2015,5,"May 2015",439577484.54,0.09,0.0594
2015,6,"Jun 2015",430157969.211,-0.02,0.14807
2015,7,"Jul 2015",452074045.68,0.05,0.08032
2015,8,"Aug 2015",446852480.91,-0.01,0.03747
2015,9,"Sep 2015",362771798.52,-0.19,0.25745
2015,10,"Oct 2015",395678984.67,0.09,0.04057
2015,11,"Nov 2015",344124030.73,-0.13,-0.03582
2015,12,"Dec 2015",486893809.336,0.41,0.40831
2016,1,"Jan 2016",384190402.3,-0.21,0.13411
2016,2,"Feb 2016",466006216.02,0.21,0.16739
2016,3,"Mar 2016",439136355.735,-0.06,-0.04977
