"ANO","MES","ANO_MES","TIAM_PLAZO_90","TIAM_PLAZO_180","TIAM_PLAZO_360","TIAM_PLAZO_2","TIAM_PLAZO_5","TIAM_PLAZO_MAX","TIAM_PROM_P","TIAM_PROM_S","TIAM_SEC_COMERCIO","TIAM_SEC_CONSUMO","TIAM_SEC_HIPO","TIAM_PREF_PP","TIAM_PREF_COMERCIO","TIAM_PREF_CONSUMO","TIAM_PREF_HIPO"
2022,9,"Sep 2022",10.3,11.529,12.297,15.371,16.976,13.712,13.74,13.638,11.946,19.393,13.364,10.206,10.038,11.918,10.994
2022,10,"Oct 2022",10.476,12.512,12.571,14.277,17.001,14.08,13.564,14.087,12.218,18.997,11.961,10.133,10.047,12.092,9.962
2022,11,"Nov 2022",10.713,11.944,13.107,14.382,17.042,14.116,13.724,14.195,12.375,19.088,12.426,10.292,10.185,12.195,10.375
2022,12,"Dec 2022",10.677,12.322,13.155,14.53,16.185,13.866,13.499,14.268,12.444,19.185,12.235,10.798,10.737,12.902,10.23
2023,1,"Jan 2023",13.818,12.945,14.043,16.266,17.642,11.397,13.969,15.005,12.682,18.684,13.067,11.013,10.818,11.94,12.458
2023,2,"Feb 2023",13.273,14.102,15.137,15.932,18.24,14.981,15.679,15.613,14.519,20.141,13.152,13.1,13.095,13.573,12.834
2023,3,"Mar 2023",13.793,13.345,14.547,15.499,18.549,15.479,15.453,15.741,14.232,20.344,12.239,12.378,12.408,13.264,11.254
2023,4,"Apr 2023",13.144,14.09,14.151,16.945,18.54,15.89,15.87,15.85,14.65,19.99,12.171,12.235,12.244,13.531,10.863
2023,5,"May 2023",13.804,13.629,13.347,16.794,18.67,15.946,15.89,15.774,14.306,20.576,12.086,12.29,12.26,13.813,10.804
2023,6,"Jun 2023",11.618,11.858,11.293,11.865,13.172,13.977,12.41,13.804,11.352,18.057,11.025,9.791,9.723,10.903,9.411
2023,7,"Jul 2023",13.037,12.747,12.577,12.832,16.474,15.195,14.185,14.369,12.663,19.874,10.673,10.318,10.338,11.08,9.416
2023,8,"Aug 2023",12.763,12.72,12.971,14.496,16.318,14.53,14.309,14.425,13.066,20.337,10.345,10.852,10.998,12.281,9.575
2023,9,"Sep 2023",12.552,11.855,12.551,13.89,16.362,14.496,13.902,14.262,12.608,20.257,10.376,10.605,10.661,12.201,9.261
2023,10,"Oct 2023",12.886,11.42,10.456,13.057,16.978,15.08,13.433,14.077,11.813,20.119,10.475,9.564,9.488,12.229,9.196
2023,11,"Nov 2023",12.941,11.66,12.415,14.189,17.277,15.681,14.517,14.521,12.911,20.172,10.486,10.2,10.173,12.015,9.243
2023,12,"Dec 2023",12.299,11.59,12.036,13.447,16.54,14.447,13.597,13.774,12.371,18.716,10.929,10.197,10.191,10.727,9.54
