"ANO","MES","ANO_MES","TIPM_PLAZO_30","TIPM_PLAZO_60","TIPM_PLAZO_90","TIPM_PLAZO_180","TIPM_PLAZO_360","TIPM_PLAZO_2","TIPM_PLAZO_5","TIPM_PLAZO_MAX","TIPM_PROM_P","TIPM_PROM_S","TIPM_DEP_AHORRO","TIPM_SEC_GENERAL","TIPM_SEC_PREF","TIPM_INTERBANCARIA"
2022,9,"Sep 2022",8.508,8.53,8.227,8.204,8.038,7.186,7.722,9.6,8.268,8.15,0.216,7.05,9.301,8.626
2022,10,"Oct 2022",9.117,8.692,8.46,8.33,6.902,7.084,8.24,,8.431,8.204,0.219,7.266,10.793,8.589
2022,11,"Nov 2022",9.517,10.868,10.148,8.242,7.295,7.556,7.288,3.87,9.178,8.697,0.22,7.091,11.408,9.676
2022,12,"Dec 2022",11.916,10.079,9.272,9.203,8.104,9.521,8.707,,9.934,9.232,0.22,7.355,12.215,10.948
2023,1,"Jan 2023",10.767,9.537,9.966,10.204,8.46,8.279,8.997,10,9.76,9.608,0.225,7.857,12.657,11.069
2023,2,"Feb 2023",9.294,10.851,10.375,9.684,8.779,8.825,10.043,,9.581,9.676,0.254,8.011,12.039,11.577
2023,3,"Mar 2023",11.12,10.218,10.939,10.194,9.411,8.846,10.566,10.266,10.234,10.08,0.264,8.314,12.472,11.49
2023,4,"Apr 2023",10.203,10.842,10.562,9.874,9.051,8.583,10.738,10.591,9.992,10.113,0.252,8.112,12.59,11.057
2023,5,"May 2023",10.395,10.853,10.399,10.176,9.407,10.016,11.215,11.294,10.358,10.18,0.252,8.106,12.739,11.331
2023,6,"Jun 2023",9.466,10.413,10.349,8.989,8.652,9.379,10.878,10.31,9.501,9.601,0.247,8.192,11.725,11.136
2023,7,"Jul 2023",9.12,8.377,8.582,7.729,7.607,6.492,8.861,9.967,8.2,8.005,0.23,6.938,10.539,10.465
2023,8,"Aug 2023",8.675,8.116,9.196,8.184,6.873,6.41,9.27,8.027,8.191,7.629,0.227,6.637,10.328,9.181
2023,9,"Sep 2023",8.463,9.534,9.354,8.249,6.655,6.261,8.835,8.95,8.383,7.886,0.225,6.9,10.298,9.744
2023,10,"Oct 2023",9.218,8.262,9.009,8.476,7.064,6.729,6.246,9.129,8.386,7.772,0.23,6.865,10.452,10.155
2023,11,"Nov 2023",8.72,10.086,9.636,8.684,7.405,6.319,7.062,8.081,8.793,8.106,0.228,6.981,10.602,10.11
2023,12,"Dec 2023",9.221,8.722,9.01,8.405,7.216,6.657,6.747,7.613,8.564,7.838,0.226,6.786,10.357,9.842
2024,1,"Jan 2024",9.21,9.002,8.786,8.569,7.424,6.397,7.172,8.264,8.646,7.908,0.228,6.685,10.513,9.768
2024,2,"Feb 2024",8.956,9.588,8.8,8.484,8.088,6.763,6.838,6.369,8.665,7.94,0.23,6.644,10.531,9.92
2024,3,"Mar 2024",9.689,8.865,9.757,9.322,8.465,7.851,7.613,,9.047,8.556,0.229,7.33,10.75,10.669
2024,4,"Apr 2024",9.751,10.881,10.099,9.575,8.534,7.091,7.699,,9.505,8.855,0.256,7.542,11.508,11.931
2024,5,"May 2024",10.973,9.902,11.155,10.176,8.995,8.88,7.646,,10.138,9.593,0.302,8.1,12.417,12.481
2024,6,"Jun 2024",10.816,11.206,11.44,10.309,8.837,7.241,7.93,,10.25,9.682,0.318,8.057,12.734,11.478
2008,1,"Jan 2008",5.7,6.54,6.65,7.09,6.94,8.81,,,6.51,6.832,3.03,6.28,8.41,8.1
2008,2,"Feb 2008",5.56,6.59,6.53,7.15,7.03,8.31,,,6.27,6.837,2.95,6.14,8.25,8.92
2008,3,"Mar 2008",5.79,6.51,6.87,7.23,7.14,6.86,,,6.41,6.792,2.96,6.26,8.28,9.95
2008,4,"Apr 2008",6.29,6.64,7.2,7.68,7.13,8.38,,,6.83,7.094,2.96,6.25,9.04,9.98
2008,5,"May 2008",7.54,7.61,8.57,8.75,8.25,9.22,,,8,8.15,2.92,7.38,10.48,10.29
2008,6,"Jun 2008",9,9.93,9.87,10.52,9.92,10.22,,,9.73,10.067,3.03,9.06,11.6,10.93
2008,7,"Jul 2008",10.1,12.47,11.85,12.75,11.86,14.19,,,11.69,12.386,3.01,10.98,13.85,13.23
2008,8,"Aug 2008",11.1,13.47,12.92,13.63,13.03,15.16,,,12.75,13.099,3.04,11.66,16.01,13.96
2008,9,"Sep 2008",10.56,12.52,12.66,14.03,13.95,15.02,,,12.67,13.152,3.02,11.61,15.96,15.06
2008,10,"Oct 2008",11.4,13.65,13.45,14.43,14.41,15.2,,,13.36,13.59,3,12.34,15.99,15.43
