"ANO","MES","ANO_MES","TUR_MENSUAL","TUR_ACUMULADO","VAR_INTERANUAL_TUR","VAR_INTERANUAL_ACUMULADO_TUR"
2005,11,"Nov 2005",228525,2792395,0.05406,0.07238
2005,12,"Dec 2005",295852,3088247,0.09995,0.07496
2006,1,"Jan 2006",316652,316652,0.06677,0.06677
2006,2,"Feb 2006",324683,641335,0.12233,0.09419
2006,3,"Mar 2006",346264,987599,0.07683,0.08804
2006,4,"Apr 2006",322452,1310051,0.24801,0.12349
2006,5,"May 2006",234333,1544384,0.14148,0.12618
2006,6,"Jun 2006",281741,1826125,0.12088,0.12536
2006,7,"Jul 2006",345913,2172038,0.02434,0.10796
2006,8,"Aug 2006",276731,2448769,0.05151,0.10128
2006,9,"Sep 2006",171641,2620410,0.07962,0.09983
2006,10,"Oct 2006",183859,2804269,0.01401,0.09376
2006,11,"Nov 2006",236640,3040909,0.03551,0.089
2006,12,"Dec 2006",301197,3342106,0.01807,0.0822
2007,1,"Jan 2007",334544,334544,0.0565,0.0565
2007,2,"Feb 2007",329979,664523,0.01631,0.03616
2007,3,"Mar 2007",367399,1031922,0.06104,0.04488
2007,4,"Apr 2007",307914,1339836,-0.04509,0.02274
2007,5,"May 2007",225320,1565156,-0.03846,0.01345
2007,6,"Jun 2007",273120,1838276,-0.0306,0.00665
2007,7,"Jul 2007",334473,2172749,-0.03307,0.00033
2007,8,"Aug 2007",283183,2455932,0.02332,0.00293
2007,9,"Sep 2007",178446,2634378,0.03965,0.00533
2007,10,"Oct 2007",196283,2830661,0.06757,0.00941
2007,11,"Nov 2007",245013,3075674,0.03538,0.01143
2007,12,"Dec 2007",322700,3398374,0.07139,0.01684
2008,1,"Jan 2008",353236,353236,0.05587,0.05587
2008,2,"Feb 2008",372002,725238,0.12735,0.09137
2008,3,"Mar 2008",389075,1114313,0.059,0.07984
2008,4,"Apr 2008",315721,1430034,0.02535,0.06732
2008,5,"May 2008",247357,1677391,0.0978,0.07171
2008,6,"Jun 2008",281338,1958729,0.03009,0.06552
2008,7,"Jul 2008",327227,2285956,-0.02166,0.0521
2008,8,"Aug 2008",281094,2567050,-0.00738,0.04524
2008,9,"Sep 2008",162946,2729996,-0.08686,0.0363
2008,10,"Oct 2008",177072,2907068,-0.09787,0.02699
2008,11,"Nov 2008",233185,3140253,-0.04827,0.021
2008,12,"Dec 2008",307477,3447730,-0.04717,0.01452
2009,1,"Jan 2009",345995,345995,-0.0205,-0.0205
2009,2,"Feb 2009",348746,694741,-0.06252,-0.04205
2009,3,"Mar 2009",363410,1058151,-0.06596,-0.0504
2009,4,"Apr 2009",300107,1358258,-0.04946,-0.05019
2009,5,"May 2009",249895,1608153,0.01026,-0.04128
2009,6,"Jun 2009",276493,1884646,-0.01722,-0.03782
2009,7,"Jul 2009",327967,2212613,0.00226,-0.03208
2009,8,"Aug 2009",274939,2487552,-0.0219,-0.03097
2009,9,"Sep 2009",166518,2654070,0.02192,-0.02781
2009,10,"Oct 2009",190127,2844197,0.07373,-0.02163
2009,11,"Nov 2009",243657,3087854,0.04491,-0.01669
2009,12,"Dec 2009",327762,3415616,0.06597,-0.00931
2010,1,"Jan 2010",366256,366256,0.05856,0.05856
2010,2,"Feb 2010",354036,720292,0.01517,0.03678
2010,3,"Mar 2010",371244,1091536,0.02156,0.03155
2010,4,"Apr 2010",289223,1380759,-0.03627,0.01657
2010,5,"May 2010",246811,1627570,-0.01234,0.01207
2010,6,"Jun 2010",290764,1918334,0.05161,0.01787
2010,7,"Jul 2010",346671,2265005,0.05703,0.02368
2010,8,"Aug 2010",280382,2545387,0.0198,0.02325
2010,9,"Sep 2010",180385,2725772,0.08328,0.02702
2010,10,"Oct 2010",207332,2933104,0.09049,0.03126
2010,11,"Nov 2010",256202,3189306,0.05149,0.03286
2010,12,"Dec 2010",331804,3521110,0.01233,0.03089
2011,1,"Jan 2011",367565,367565,0.00357,0.00357
2011,2,"Feb 2011",365668,733233,0.03286,0.01797
2011,3,"Mar 2011",394821,1128054,0.06351,0.03346
2011,4,"Apr 2011",330697,1458751,0.1434,0.05648
2011,5,"May 2011",251650,1710401,0.01961,0.05089
2011,6,"Jun 2011",290554,2000955,-0.00072,0.04307
2011,7,"Jul 2011",363045,2364000,0.04723,0.04371
2011,8,"Aug 2011",277386,2641386,-0.01069,0.03771
2011,9,"Sep 2011",200043,2841429,0.10898,0.04243
2011,10,"Oct 2011",225595,3067024,0.08809,0.04566
2011,11,"Nov 2011",273970,3340994,0.06935,0.04756
2011,12,"Dec 2011",362003,3702997,0.09101,0.05166
2012,1,"Jan 2012",390768,390768,0.06313,0.06313
2012,2,"Feb 2012",400493,791261,0.09524,0.07914
2012,3,"Mar 2012",424613,1215874,0.07546,0.07785
2012,4,"Apr 2012",350527,1566401,0.05996,0.0738
2012,5,"May 2012",267043,1833444,0.06117,0.07194
2012,6,"Jun 2012",321731,2155175,0.1073,0.07707
2012,7,"Jul 2012",379908,2535083,0.04645,0.07237
2012,8,"Aug 2012",298579,2833662,0.0764,0.07279
2012,9,"Sep 2012",213795,3047457,0.06875,0.07251
2012,10,"Oct 2012",229032,3276489,0.01524,0.0683
2012,11,"Nov 2012",285901,3562390,0.04355,0.06627
2012,12,"Dec 2012",361303,3923693,-0.00193,0.0596
2013,1,"Jan 2013",383364,383364,-0.01895,-0.01895
2013,2,"Feb 2013",381170,764534,-0.04825,-0.03378
2013,3,"Mar 2013",444068,1208602,0.04582,-0.00598
2013,4,"Apr 2013",345752,1554354,-0.01362,-0.00769
2013,5,"May 2013",283727,1838081,0.06248,0.00253
2013,6,"Jun 2013",337445,2175526,0.04884,0.00944
2013,7,"Jul 2013",396938,2572464,0.04483,0.01475
2013,8,"Aug 2013",320506,2892970,0.07344,0.02093
2013,9,"Sep 2013",211405,3104375,-0.01118,0.01868
2013,10,"Oct 2013",243368,3347743,0.06259,0.02175
2013,11,"Nov 2013",315168,3662911,0.10237,0.02822
2013,12,"Dec 2013",401843,4064754,0.1122,0.03595
2014,1,"Jan 2014",410475,410475,0.07072,0.07072
2014,2,"Feb 2014",404555,815030,0.06135,0.06605
2014,3,"Mar 2014",452283,1267313,0.0185,0.04858
2014,4,"Apr 2014",394150,1661463,0.13998,0.06891
2014,5,"May 2014",335960,1997423,0.1841,0.08669
2014,6,"Jun 2014",379987,2377410,0.12607,0.0928
2014,7,"Jul 2014",433977,2811387,0.09331,0.09288
2014,8,"Aug 2014",363646,3175033,0.1346,0.0975
2014,9,"Sep 2014",239518,3414551,0.13298,0.09992
2014,10,"Oct 2014",276427,3690978,0.13584,0.10253
2014,11,"Nov 2014",344171,4035149,0.09202,0.10162
2014,12,"Dec 2014",429494,4464643,0.06881,0.09838
2015,1,"Jan 2015",435851,435851,0.06182,0.06182
2015,2,"Feb 2015",430819,866670,0.06492,0.06336
2015,3,"Mar 2015",476520,1343190,0.05359,0.05987
2015,4,"Apr 2015",410933,1754123,0.04258,0.05577
2015,5,"May 2015",357965,2112088,0.0655,0.05741
2015,6,"Jun 2015",408433,2520521,0.07486,0.0602
2015,7,"Jul 2015",477596,2998117,0.10051,0.06642
2015,8,"Aug 2015",396091,3394208,0.08922,0.06903
2015,9,"Sep 2015",280545,3674753,0.17129,0.0762
2015,10,"Oct 2015",317480,3992233,0.14851,0.08162
2015,11,"Nov 2015",370582,4362815,0.07674,0.0812
2015,12,"Dec 2015",470141,4832956,0.09464,0.0825
2016,1,"Jan 2016",465229,465229,0.0674,0.0674
2016,2,"Feb 2016",463124,928353,0.07499,0.07117
2016,3,"Mar 2016",498735,1427088,0.04662,0.06246
2016,4,"Apr 2016",423875,1850963,0.03149,0.05521
2016,5,"May 2016",374737,2225700,0.04685,0.05379
2016,6,"Jun 2016",440229,2665929,0.07785,0.05769
2016,7,"Jul 2016",524862,3190791,0.09897,0.06427
2016,8,"Aug 2016",428356,3619147,0.08146,0.06627
2016,9,"Sep 2016",307270,3926417,0.09526,0.06848
2016,10,"Oct 2016",339140,4265557,0.06822,0.06846
2016,11,"Nov 2016",380484,4646041,0.02672,0.06492
2016,12,"Dec 2016",488069,5134110,0.03813,0.06231
2017,1,"Jan 2017",485738,485738,0.04408,0.04408
2017,2,"Feb 2017",485462,971200,0.04823,0.04615
2017,3,"Mar 2017",524049,1495249,0.05076,0.04776
2017,4,"Apr 2017",495195,1990444,0.16826,0.07536
2017,5,"May 2017",411190,2401634,0.09728,0.07905
2017,6,"Jun 2017",468677,2870311,0.06462,0.07666
2017,7,"Jul 2017",546019,3416330,0.04031,0.07068
2017,8,"Aug 2017",445444,3861774,0.03989,0.06704
2017,9,"Sep 2017",258588,4120362,-0.15843,0.04939
2017,10,"Oct 2017",337466,4457828,-0.00494,0.04508
2017,11,"Nov 2017",392966,4850794,0.03281,0.04407
2017,12,"Dec 2017",503223,5354017,0.03105,0.04283
2018,1,"Jan 2018",501365,501365,0.03217,0.03217
2018,2,"Feb 2018",501107,1002472,0.03223,0.0322
2018,3,"Mar 2018",589243,1591715,0.1244,0.06452
2018,4,"Apr 2018",489489,2081204,-0.01152,0.0456
2018,5,"May 2018",436057,2517261,0.06048,0.04815
2018,6,"Jun 2018",497997,3015258,0.06256,0.0505
2018,7,"Jul 2018",561135,3576393,0.02768,0.04685
2018,8,"Aug 2018",451227,4027620,0.01298,0.04295
2018,9,"Sep 2018",300916,4328536,0.16369,0.05052
2018,10,"Oct 2018",350821,4679357,0.03957,0.04969
2018,11,"Nov 2018",416954,5096311,0.06104,0.05061
2018,12,"Dec 2018",522250,5618561,0.03781,0.04941
2019,1,"Jan 2019",522632,522632,0.04242,0.04242
2019,2,"Feb 2019",535321,1057953,0.06828,0.05534
2019,3,"Mar 2019",595600,1653553,0.01079,0.03885
2019,4,"Apr 2019",504323,2157876,0.03031,0.03684
2019,5,"May 2019",446343,2604219,0.02359,0.03454
2019,6,"Jun 2019",485431,3089650,-0.02523,0.02467
2019,7,"Jul 2019",470562,3560212,-0.16141,-0.00452
2019,8,"Aug 2019",396254,3956466,-0.12183,-0.01767
2019,9,"Sep 2019",250854,4207320,-0.16637,-0.028
2019,10,"Oct 2019",294326,4501646,-0.16104,-0.03798
2019,11,"Nov 2019",382798,4884444,-0.08192,-0.04157
2019,12,"Dec 2019",473175,5357619,-0.09397,-0.04644
2020,1,"Jan 2020",474152,474152,-0.09276,-0.09276
2020,2,"Feb 2020",488228,962380,-0.08797,-0.09034
2020,3,"Mar 2020",226565,1188945,-0.6196,-0.28098
2020,4,"Apr 2020",102,1189047,-0.9998,-0.44897
2020,5,"May 2020",73,1189120,-0.99984,-0.54339
2020,6,"Jun 2020",357,1189477,-0.99926,-0.61501
2020,7,"Jul 2020",54105,1243582,-0.88502,-0.6507
2020,8,"Aug 2020",50068,1293650,-0.87365,-0.67303
2020,9,"Sep 2020",46877,1340527,-0.81313,-0.68138
2020,10,"Oct 2020",70901,1411428,-0.75911,-0.68646
2020,11,"Nov 2020",101834,1513262,-0.73397,-0.69019
2020,12,"Dec 2020",185932,1699194,-0.60705,-0.68285
2021,1,"Jan 2021",130093,130093,-0.72563,-0.72563
2021,2,"Feb 2021",126689,256782,-0.74051,-0.73318
2021,3,"Mar 2021",208629,465411,-0.07916,-0.60855
2021,4,"Apr 2021",225815,691226,2212.87255,-0.41867
2021,5,"May 2021",273370,964596,3743.79452,-0.18882
2021,6,"Jun 2021",333048,1297644,931.90756,0.09094
2021,7,"Jul 2021",412190,1709834,6.61833,0.37493
2021,8,"Aug 2021",358062,2067896,6.15151,0.5985
2021,9,"Sep 2021",277502,2345398,4.91979,0.74961
2021,10,"Oct 2021",349381,2694779,3.92773,0.90926
2021,11,"Nov 2021",424441,3119220,3.16797,1.06126
2021,12,"Dec 2021",536001,3655221,1.88278,1.15115
2022,1,"Jan 2022",436680,436680,2.35668,2.35668
2022,2,"Feb 2022",474413,911094,2.74471,2.54812
2022,3,"Mar 2022",519204,1430298,1.48865,2.07319
2022,4,"Apr 2022",513197,1943495,1.27264,1.81166
2022,5,"May 2022",453369,2396864,0.65844,1.48484
2022,6,"Jun 2022",514210,2911074,0.54395,1.24335
2022,7,"Jul 2022",591077,3502152,0.43399,1.04824
2022,8,"Aug 2022",502278,4004430,0.40277,0.93648
2022,9,"Sep 2022",341719,4346148,0.23141,0.85305
2022,10,"Oct 2022",400374,4746522,0.14595,0.76138
2022,11,"Nov 2022",476710,5223232,0.12315,0.67453
2022,12,"Dec 2022",582132,5805364,0.08607,0.58824
2023,1,"Jan 2023",568541,568541,0.30196,0.30196
2023,2,"Feb 2023",567955,1136496,0.19717,0.2474
2023,3,"Mar 2023",640628,1777124,0.23387,0.24248
2023,4,"Apr 2023",587474,2364597,0.14473,0.21667
2023,5,"May 2023",518937,2883534,0.14462,0.20304
2023,6,"Jun 2023",583475,3467009,0.1347,0.19097
2023,7,"Jul 2023",652565,4119575,0.10403,0.1763
2023,8,"Aug 2023",555224,4674799,0.10541,0.16741
2023,9,"Sep 2023",389357,5064156,0.13941,0.16521
2023,10,"Oct 2023",441717,5505873,0.10326,0.15998
2023,11,"Nov 2023",542238,6048111,0.13746,0.15792
2023,12,"Dec 2023",682691,6730802,0.17274,0.15941
2024,1,"Jan 2024",642995,642995,0.13096,0.13096
2024,2,"Feb 2024",660653,1303648,0.16321,0.14708
2024,3,"Mar 2024",725997,2029645,0.13326,0.1421
2024,4,"Apr 2024",608140,2637785,0.03518,0.11553
2024,5,"May 2024",566816,3204601,0.09226,0.11134
2024,6,"Jun 2024",624879,3829479,0.07096,0.10455
1978,1,"Jan 1978",25951,25951,,
1978,2,"Feb 1978",25876,51827,,
1978,3,"Mar 1978",26864,78691,,
1978,4,"Apr 1978",20698,99389,,
1978,5,"May 1978",13796,113185,,
1978,6,"Jun 1978",17601,130786,,
1978,7,"Jul 1978",25874,156660,,
1978,8,"Aug 1978",18913,175573,,
1978,9,"Sep 1978",17387,192960,,
1978,10,"Oct 1978",18059,211019,,
1978,11,"Nov 1978",18665,229684,,
1978,12,"Dec 1978",27423,257107,,
1979,1,"Jan 1979",27681,27681,0.06666,0.06666
1979,2,"Feb 1979",26139,53820,0.01016,0.03845
1979,3,"Mar 1979",25881,79701,-0.03659,0.01284
1979,4,"Apr 1979",26577,106278,0.28404,0.06931
1979,5,"May 1979",22737,129015,0.64809,0.13986
1979,6,"Jun 1979",24857,153872,0.41225,0.17652
1979,7,"Jul 1979",36033,189905,0.39263,0.21221
1979,8,"Aug 1979",24906,214811,0.31687,0.22349
1979,9,"Sep 1979",12638,227449,-0.27314,0.17874
1979,10,"Oct 1979",15338,242787,-0.15067,0.15055
1979,11,"Nov 1979",17957,260744,-0.03793,0.13523
1979,12,"Dec 1979",25829,286573,-0.05813,0.11461
1980,1,"Jan 1980",25437,25437,-0.08107,-0.08107
1980,2,"Feb 1980",26932,52369,0.03034,-0.02696
1980,3,"Mar 1980",25492,77861,-0.01503,-0.02309
1980,4,"Apr 1980",20392,98253,-0.23272,-0.07551
1980,5,"May 1980",20005,118258,-0.12016,-0.08338
1980,6,"Jun 1980",24344,142602,-0.02064,-0.07324
1980,7,"Jul 1980",36246,178848,0.00591,-0.05822
1980,8,"Aug 1980",26145,204993,0.04975,-0.04571
1980,9,"Sep 1980",18624,223617,0.47365,-0.01685
1980,10,"Oct 1980",20472,244089,0.33472,0.00536
1980,11,"Nov 1980",23182,267271,0.29097,0.02503
1980,12,"Dec 1980",33799,301070,0.30857,0.05059
1981,1,"Jan 1981",32866,32866,0.29205,0.29205
1981,2,"Feb 1981",29819,62685,0.1072,0.19699
1981,3,"Mar 1981",25978,88663,0.01906,0.13873
1981,4,"Apr 1981",25480,114143,0.24951,0.16173
1981,5,"May 1981",26356,140499,0.31747,0.18807
1981,6,"Jun 1981",29988,170487,0.23184,0.19554
1981,7,"Jul 1981",37781,208268,0.04235,0.1645
1981,8,"Aug 1981",27965,236233,0.06961,0.1524
1981,9,"Sep 1981",21827,258060,0.17198,0.15403
1981,10,"Oct 1981",23955,282015,0.17013,0.15538
1981,11,"Nov 1981",22935,304950,-0.01065,0.14098
1981,12,"Dec 1981",34986,339936,0.03512,0.12909
1982,1,"Jan 1982",32269,32269,-0.01816,-0.01816
1982,2,"Feb 1982",28368,60637,-0.04866,-0.03267
1982,3,"Mar 1982",22752,83389,-0.12418,-0.05948
1982,4,"Apr 1982",25481,108870,0.00004,-0.0462
1982,5,"May 1982",20967,129837,-0.20447,-0.07589
1982,6,"Jun 1982",26656,156493,-0.11111,-0.08208
1982,7,"Jul 1982",39095,195588,0.03478,-0.06088
1982,8,"Aug 1982",35436,231024,0.26716,-0.02205
1982,9,"Sep 1982",22600,253624,0.03541,-0.01719
1982,10,"Oct 1982",26441,280065,0.10378,-0.00691
1982,11,"Nov 1982",24178,304243,0.0542,-0.00232
1982,12,"Dec 1982",37070,341313,0.05957,0.00405
1983,1,"Jan 1983",33925,33925,0.05132,0.05132
1983,2,"Feb 1983",28618,62543,0.00881,0.03143
1983,3,"Mar 1983",26837,89380,0.17954,0.07184
1983,4,"Apr 1983",24496,113876,-0.03866,0.04598
1983,5,"May 1983",25611,139487,0.22149,0.07432
1983,6,"Jun 1983",32330,171817,0.21286,0.09792
1983,7,"Jul 1983",45525,217342,0.16447,0.11122
1983,8,"Aug 1983",32265,249607,-0.08949,0.08044
1983,9,"Sep 1983",25788,275395,0.14106,0.08584
1983,10,"Oct 1983",25441,300836,-0.03782,0.07416
1983,11,"Nov 1983",28514,329350,0.17934,0.08252
1983,12,"Dec 1983",41559,370909,0.1211,0.08671
1984,1,"Jan 1984",36722,36722,0.08245,0.08245
1984,2,"Feb 1984",36290,73012,0.26808,0.16739
1984,3,"Mar 1984",37601,110613,0.40109,0.23756
